CHARACTER_JITEN_01_VOICEACTOR;CV: Josh Keaton / Soma Saito
CHARACTER_JITEN_29_2;[#ff368c79]Master of Disguise[/#][~]The captain was tasked with providing support to the two key players in the plan to free Figaro: Reynn and Lann. But in order to elude the Federation’s agents, he disguised himself as a prisoner in rags.[~][~]You can see the captain takes his job seriously—he spent [f2]hours [/f]writing all his lines. But let’s face it: that was one ham-and-cheese-sandwich of a performance. It goes without saying that his acting abilities are a regular topic of jokes in the barracks.[~][~]
CHARACTER_JITEN_29_3;[#ff368c79]Vivi’s Vindication[/#][~]The captain was convinced Vivi and the Black Mages were just more spies the Federation left lurking beneath Figaro. He tried everything in his power to oust them as traitors, but in the end, the purity of Vivi’s heart won even the distrustful captain over.[~][~]
CHARACTER_JITEN_30_VOICEACTOR;CV: Doug Erholtz / Hideo Ishikawa
CHARACTER_JITEN_30_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY VIII[/f][~]
CHARACTER_JITEN_30_1;[#ff368c79]Age in Grymoire:[/#] 17[~][~][#ff368c79]Notes:[/#] Mercenary / Follows orders / SeeD / Gunblade / Handily saves Lann and Reynn from certain death[~][~]
CHARACTER_JITEN_30_2;[#ff368c79]SeeD[/#][~]SeeD is a group of elite mercenaries whose current primary focus is overthrowing the Bahamutian Federation. Its ranks include such notable figures as Squall and Quistis.[~][~]King Edgar of Figaro hired SeeD to help free his castle from the Federation’s chain. SeeD’s support was invaluable in this operation, and they provided crucial support to the forcibly drafted heroes of the day, Lann and Reynn.[~][~]
CHARACTER_JITEN_30_3;[#ff368c79]The League of S[/#][~]Cloud and Shelke work for Shinra, and Squall and Quistis work for SeeD. When these two powerful groups joined forces against the Bahamutian Federation, they became a powerful alliance known as the League of S—which, as you’ve figured out by now, comes from the first letter of their names.[~][~]
CHARACTER_JITEN_30_4;[#ff368c79]The League’s Troubled History[/#][~]Shinra and SeeD—their alliance poses a formidable threat to the Bahamutian Federation.[~][~]However, their cause saw a major setback when a mysterious incident at Shinra’s former HQ in Nibelheim resulted in the disappearance of its researchers and top brass. After the incident, SeeD stepped in and assumed command of Shinra’s mercenary group, known as SOLDIER. This is why Cloud and Shelke now report to Quistis.[~][~]
CHARACTER_JITEN_30_5;[#ff368c79]SeeD’s Headquarters[/#][~]The floating city of Balamb Garden serves as SeeD’s airborne base of operations. However, until Eiko took a closer look, no one had ever suspected the Garden was actually a colossal eidolon.[~][~]Occasionally, alien technology is found in Grymoire: strange artifacts from places and eras unknown. SeeD has worked tirelessly to find this technology and exploit it in their fight against the Federation. The airships they used to discover Balamb Garden are a perfect example.[~][~]The Garden itself also proved to be a gold mine of useful tech: drawing, junctioning, and weapons like the gunblade. With the support of Shinra’s brilliant researchers, these discoveries were modernized and put into practice.[~][~]
CHARACTER_JITEN_30_6;[#ff368c79]Leadership Material[/#][~]Squall has always been a man of few words—a lone wolf. However, with so few fighters of his caliber to choose from, SeeD has had to keep Squall on the front lines, where his comrades expect him to get them through the danger. As a result, he’s more of a leader than he knows.[~][~]In case you’re wondering, Seifer doesn’t exist here in Grymoire, so someone else gave Squall that scar on his face. Rumor has it that when he first started training with Cloud and Lightning, he went home every day covered with scrapes and bruises. You don’t think that one of them...?[~][~]This may surprise you, but Squall is the youngest core member of the League of S. (Yup, even younger than Shelke!) His poise and experience make him seem older than he actually is.[~][~]
CHARACTER_JITEN_31_VOICEACTOR;CV: Kari Wahlgren / Fumiko Orikasa
CHARACTER_JITEN_31_ORIGINAL;First World of Origin:[~][f2]DIRGE of CERBERUS –FINAL FANTASY VII–[/f][~]
CHARACTER_JITEN_31_1;[#ff368c79]Age in Grymoire:[/#] 19[~][~][#ff368c79]Notes:[/#] Shinra / SOLDIER / Colorless and expressionless / Careful planner / Uncomfortable with flattery[~][~]
CHARACTER_JITEN_31_2;"[#ff368c79]Countertek[/#][~]Shelke is a master of Countertek, an impressive skill that allows her to neutralize other techniques and mechanisms. However, it cannot act on latent forces. This is why she pushed Lann and Reynn as hard as she did
CHARACTER_JITEN_31_3;[#ff368c79]The Tsviets[/#][~]Shelke works for Shinra as a member of both SOLDIER and the elite force known as the Tsviets. The Tsviets’ members have colors for code names, but Shelke’s code name—Shelke the Transparent—sets her apart as special, even among her already extraordinary peers.[~][~]
CHARACTER_JITEN_31_4;[#ff368c79]Emotionally Detached[/#][~]The nightmares Diabolos subjected Shelke to were twisted versions of reality—but they were still, to some extent, true.[~][~]Shelke’s life has not been sugar and rainbows, and she’s learned to cut herself off from her emotions in order to cope. Additionally, it’s in her nature to put all her energy into the task at hand, so she frequently overlooks details she has determined don’t matter. For example, she only realized the strangeness of a Mirage like Tama talking when Vivi pointed it out to her.[~][~]All the same, the lack of distractions gives her complete objectivity, so she’s surprisingly good at reading [f2]other [/f]people’s feelings. Ironic, isn’t it?[~][~]
CHARACTER_JITEN_32_VOICEACTOR;CV: Kath Soucie / Ikue Otani
CHARACTER_JITEN_32_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY IX[/f][~]
CHARACTER_JITEN_32_1;[#ff368c79]Age in Grymoire:[/#] Unknown[~](In a way, his life has only just begun)[~][~][#ff368c79]Notes:[/#] Black Mage / Purehearted / Grappling with his place and purpose[~][~]
CHARACTER_JITEN_32_2;[#ff368c79]Finding His Identity[/#][~]The twins and friends discover Vivi deep in the heart of Mako Reactor 0, the underground facility beneath Figaro Castle. In the heat of the resulting battle, he unexpectedly becomes self-aware.[~][~]In Grymoire, Vivi is the only Black Mage from the reactor to gain powers of speech.[~][~]
CHARACTER_JITEN_32_3;[#ff368c79]The Keys’ Hidden Purpose[/#][~]When the four keys were hidden, each also served as a sort of cork to bottle up the power of one of the Pleiad. Such was their magic.[~][~]The keys also served as a kind of trap, luring Mirages like flies to their honey. After being discarded, the Black Mages gravitated toward the Key of Earth, and the most powerful among them, Vivi, came to possess the key.[~][~]Was that all part of Enna Kros’s grand strategy? Whatever the case, it turned out to be extremely fortunate for Lann and Reynn.[~][~]
CHARACTER_JITEN_32_4;[#ff368c79]The Black Mages[/#][~]Over the past hundred years, Segwarides has dabbled in a number of experiments only to cast them aside. The Black Mages were his attempt to create a sort of spell-slinging golem (with a fail-safe, of course).[~][~]So how is it one of the so-called Herald’s creations came to possess the soul of a Medium? (Yes, that’s right.) Perhaps Enna Kros had a few more tricks up her sleeve than anyone realized.[~][~]
CHARACTER_JITEN_32_5;[#ff368c79]Friend of Figaro[/#][~]Seeing as Vivi gained sentience in Edgar’s domain (or under it, if you want to nitpick), the king felt it was only right to give him and his brethren a chance to find their place and purpose in Figaro.[~][~]Since then, Vivi in particular has begun to look up to Edgar, both as a leader and as an adult— Wait, is that okay?! Edgar, a role model? Well, don’t panic. Vivi’s heart is pure enough to guide him along his own path...probably.[~][~]Are you worried about his future? Well, all of that works differently here in Grymoire, even if it is still uncertain.[~][~]
CHARACTER_JITEN_33_VOICEACTOR;CV: Michaela Murphy / Hisako Kanemoto
CHARACTER_JITEN_33_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY IX[/f][~]
CHARACTER_JITEN_33_1;[#ff368c79]Age in Grymoire:[/#] 6[~][~][#ff368c79]Familiar:[/#] Fenrir[~][~][#ff368c79]Notes:[/#] Summoner with a horn / Precocious / Big Bridge’s caretaker / She doesn’t [f2]sound [/f]6![~][~]
CHARACTER_JITEN_33_2;[#ff368c79]Kindergarten Summoner[/#][~]Despite her tender age of 6, Eiko is already a skilled summoner. Not only that, she’s more independent than many people five times her age. She passes her days caring for and watching over Big Bridge, both for the sake of passing travelers and for Alexander himself. To sum it up, this little girl’s competence levels are actually kind of frightening.[~][~]Sadly, Big Bridge doesn’t see much foot traffic, so Eiko sometimes gets lonely. When visitors come a-stopping by, she always strikes up a long conversation.[~][~]
CHARACTER_JITEN_33_3;[#ff368c79]Fond Friends[/#][~]By the time Eiko was old enough to walk, she had already gained the knowledge, skill, and poise required to be a first-class summoner. It’s a shame her family isn’t around to see how far she has come... Oh, but don’t worry, it’s not what you think. Eiko simply decided to strike out on her own. (Calling her “precocious” would be an understatement.)[~][~]Eiko is very fond of Rydia and Lady Yuna, and they see each other quite often. In a way, they have become her new family.[~][~]
CHARACTER_JITEN_33_4;[#ff368c79]The Fenrir Primes[/#][~]Eiko used to live alongside moogles and other Mirages. Now that she’s a full-fledged summoner, she is accompanied only by her familiar, Fenrir, with whom she shares her magic.[~][~]Eiko’s Fenrir may bear a striking similarity to the fenrirs you get by transfigging white nakks, but his soul is actually a little different. Eiko’s Fenrir is a special variant called a “prime.” The primes govern the power of the moon, and are not to be trifled with.[~][~]Still, if Lann and Reynn manage to transfig a white nakk, they can get a glimpse of the fenrir tribe’s true glory.[~][~]Summoners call the original souls of their familiars from their original worlds, which, as you’ll come to learn, makes them very different from Mirage Keepers. One thing is for certain: most familiars are far more powerful than your run-of-the-mill Grymoirian Mirage.[~][~]
CHARACTER_JITEN_34_VOICEACTOR;CV: Jason Spisak / Soichiro Hoshi
CHARACTER_JITEN_34_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY V[/f][~]
CHARACTER_JITEN_34_1;[#ff368c79]Age in Grymoire:[/#] 20[~][~][#ff368c79]Notes:[/#] Travels with a chocobo / Believes helping strangers is just what you do / Tied by fate to someone not-so-great[~][~]
CHARACTER_JITEN_34_2;[#ff368c79]Road Warrior[/#][~]Wherever the wind blows, there you will find Bartz and his constant companion, Boko. Sometimes treasure hunter, sometimes monster hunter, sometimes champion of justice—whatever Bartz is up to today, you know it’ll be for the good of those in need. No matter how difficult the challenge, he’ll solve it with style and aplomb before disappearing into the sunset.[~][~]Bartz’s quest to explore the world isn’t mere fancy, but rather the dying wish of his father.[~][~]
CHARACTER_JITEN_34_3;[#ff368c79]Carefree[/#][~]Nothing can contain Bartz’s boundless enthusiasm and thirst for adventure. With a sack over his shoulder and a song in his heart, he travels from place to place, a smile on his lips as he faces even the most hopeless of situations. He can even match the ever-exuberant Rikku’s excitement levels, and that’s no easy feat.[~][~]Perhaps Bartz has doubts and worries like anyone else, and never lets them show. Or...maybe he really is just that carefree. But once Bartz decides to involve himself in something, he’ll see it through to the end. “Never give up” is his motto, and he never has.[~][~]
CHARACTER_JITEN_34_4;[#ff368c79]Gilgamesh and I[/#][~]Bartz has a stalker he just can’t shake, and that stalker’s name is Gilgamesh. The Bartz here in Grymoire hasn’t the slightest inkling why, but back in their world of origin, they have [f2]quite [/f]the history.[~][~]Although Gilgamesh is [f2]extremely [/f]irritating, he’s not really a villain. In fact, a man who sticks by his creed [f2]that [/f]doggedly deserves some admiration. Of course, if you asked Bartz if he liked the guy, he’d probably just smile and say, “Absolutely can’t stand him!” But here in Grymoire, Bartz and Gilgamesh could end up making a pretty good team.[~][~]
CHARACTER_JITEN_35_VOICEACTOR;CV: Keith Szarabajka / Kazuya Nakai
CHARACTER_JITEN_35_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY V[/f][~]
CHARACTER_JITEN_35_1;[#ff368c79]Age in Grymoire:[/#] Immeasurable[~][~][#ff368c79]Notes:[/#] Big Bridge’s classic clasher / Not that weird / Actually...yeah, that weird[~][~]
CHARACTER_JITEN_35_2;[#ff368c79]Batty for Bartz[/#][~]Gilgamesh has a very special soul. Although he was born in the same world as Bartz, he spent a long, long time wandering the space between dimensions. As such, his memories and his obsession with Bartz have been imprinted upon his soul itself.[~][~]So even though his Grymoirian self is just a copy, Gilgamesh still retains some of the emotions his original had. He’s similar to the Warrior of Light in this regard.[~][~]
CHARACTER_JITEN_35_3;[#ff368c79]Batty for Bartz: Continued[/#][~]When Gilgamesh has a chance encounter with Snow, he shouts “Bartz!” and ends up picking a fight with what he believes must be his nemesis.[~][~]There is a logic to these seemingly random actions:[~]1. Gilgamesh is destined to fight Bartz (but he doesn’t know why).[~]2. Bartz must be destined to fight Gilgamesh. (Obviously.)[~]3. Therefore, the only person who would dare fight him is Bartz! (Because...right?)[~][~]With this ironclad reasoning behind him, Gilgamesh assumes Snow must be a shape-shifted Bartz, and the rest is history. Or insanity.[~][~]Snow and Gilgamesh are both excellent conversationalists—that is, if carrying on simultaneous monologues still counts. You have to feel bad for poor Celes...[~][~]
CHARACTER_JITEN_36_VOICEACTOR;CV: Steve Burton / Takahiro Sakurai
CHARACTER_JITEN_36_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY VII[/f][~]
CHARACTER_JITEN_36_1;[#ff368c79]Age in Grymoire:[/#] 21[~][~][#ff368c79]Notes:[/#] Buster sword / Chocobo haircut / Former member of SOLDIER / The quiet, serious type / Keeps his cool / Fights against the Federation with the League of S[~][~]
CHARACTER_JITEN_36_2;[#ff368c79]Cloud and the League[/#][~]The Grymoirian Cloud used to work for Shinra as a member of SOLDIER. However, a certain incident caused their paths to diverge.[~][~]Quistis asked Cloud to stay on with the League of S as a freelance mercenary, and Cloud agreed...under one condition.[~][~]
CHARACTER_JITEN_36_3;[#ff368c79]The Condition[/#][~]Cloud’s condition for staying with the League was this: SeeD must agree to help him track a man down, and if Cloud should decide to pursue the manhunt alone, they must not interfere.[~][~]Cloud seeks vengeance. His reasons are unclear, but when it comes to this one man, he goes blind with rage.[~][~]
CHARACTER_JITEN_36_4;"[#ff368c79]Antichampions[/#][~]Enna Kros created the Champions as a kind of antibody to make her worlds and the people within them stronger
CHARACTER_JITEN_36_5;[#ff368c79]The Man with the Silver Hair[/#][~]Cloud never explains why he holds such a fierce grudge against the silver-haired man. Still, Grymoire’s Mediums often suffer the same fate as their originals. We never meet Zack and Aerith in Grymoire, so the dots shouldn’t be very hard to connect.[~][~]Although Cloud’s past haunts him, that doesn’t mean he’s doomed to dilly-dally, shilly-shally forever. After all, he’s got both Tifa and his allies in the League of S to help him turn things around.[~][~]
CHARACTER_JITEN_37_VOICEACTOR;CV: Christina Rose / Houko Kuwashima
CHARACTER_JITEN_37_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY VI[/f][~]
CHARACTER_JITEN_37_1;[#ff368c79]Age in Grymoire:[/#] 18[~][~][#ff368c79]Notes:[/#] Library sentry in Tometown / Gallant and poised / Buddy-buddy with Cid / Part steely soldier, part romantic[~][~]
CHARACTER_JITEN_37_2;[#ff368c79]Celes and Cid[/#][~]Celes and Cid go way back, and they’re close as a result. He was the one who hired her to protect the Library of the Ancients.[~][~]Now that Cid has become prone to rampages, the position has turned into a round-the-clock job. She’s a little peeved about not being able to go out, but likes Cid enough to let it slide...most of the time.[~][~]Celes’s time in the military has made her terse and businesslike when dealing with strangers, but once she gets to know you, she really opens up.[~][~]
CHARACTER_JITEN_37_3;[#ff368c79]Architects of a Better Tomorrow?[/#][~]The Federation looks favorably upon citizens who work to become Architects, and rewards their efforts with a place at a cathedral, where they are guaranteed to live a life of luxury, happiness, and peace.[~][~]Sounds too good to be true, right? Well, the Federation has been selling this story for a hundred years—more than enough time for the populace to build up a kind of blind faith. And faith is a tough thing to dismantle, even with rational thinking. Once you’ve made up your mind...[~][~]Well, this is where Lann would say something about “confection.” But the important thing is, he understood that people are hard to change. Maybe that comes from experience...[~][~]
CHARACTER_JITEN_37_4;[#ff368c79]Not Some Opera Floozy[/#][~]Celes can be pretty stubborn, but she’s more receptive to what Cid says than you might think. So when he proposed that they put on an opera, she eventually found herself warming to the idea.[~][~]Cloud, of course, had zero interest. But let’s remember, this is a man who has put on a dress and [f2]gotten it done[/f]. Plus, he’s got stage experience, at least at theme parks. If the libretto hadn’t gotten inked up, Cloud might have given Celes a run for her money.[~][~]
CHARACTER_JITEN_37_5;"[#ff368c79]Celes’s Birthplace[/#][~]Grymoire is a world of interconnected floating continents: Cornelia, Saronia, Nibelheim, Figaro, Tometown, and Besaid each lie on one of these.[~][~]There used to be another continent—Cid and Celes’s home—but several years ago, it was destroyed in a horrible calamity. In the land’s final moments, the Bahamutian Federation swooped in and rescued much of its population in a massive humanitarian effort. It gave the displaced populace homes to live in and land to call their own, and helped them find some measure of peace and prosperity. Or so the story goes...[~][~]In truth, the Federation’s own Segwarides was using and abusing the continent as his own personal laboratory
CHARACTER_JITEN_37_6;[#ff368c79]Maria and Draco[/#][~]Celes glimpses, for a moment, the possibility of a new career in opera. Then again, maybe it’s not so new after all. Some of you might have recognized the lyrics and melody she was practicing.[~][~]Good thing there weren’t any 4-ton anvils in the library rafters...[~][~]
CHARACTER_JITEN_38_VOICEACTOR;CV: William Salyers / Showtaro Morikubo
CHARACTER_JITEN_38_ORIGINAL;First World of Origin:[~][f2]WORLD OF FINAL FANTASY[/f][~]
CHARACTER_JITEN_38_1;[#ff368c79]Age in Grymoire:[/#] Unknown[~](40, when he was human)[~][~][#ff368c79]Notes:[/#] Robot? / Claims to be human / Talks fast / BZEEEK! / Hopeless bibliophile / Local library menace[~][~]
CHARACTER_JITEN_38_2;[#ff368c79]Man or Mech?[/#][~]No matter how you slice it, Cid is a robot through and through. Nonetheless, he insists that he’s human. Might as well humor him.[~][~]Cid and Celes grew up in the same town and have known each other for years. He’s lucky to have a good friend to step in and quiet him down whenever he occasionally enters robo-rampage mode.[~][~]
CHARACTER_JITEN_38_3;[#ff368c79]Soul Switcheroo[/#][~]Celes made it sound as though Cid’s soul found its way into his new metallic body by accident. If so, he was lucky. The truth is, Cid was mortally wounded while fleeing from the Federation and would have died if he hadn’t switched bodies.[~][~]That said, he [f2]is [/f]pretty happy that he no longer needs to sleep. More time for books! Other benefits of mechanization include limited rocket boosters (great for accessing those hard to reach bookshelves) and never having to worry about getting a paper cut. Cid always did have a talent for finding the shiny silver lining on any cloud.[~][~]
CHARACTER_JITEN_38_4;[#ff368c79]Part of the Tradition[/#][~]He’s taken a number of roles and personalities over the years, but one thing’s for certain: it’s not FINAL FANTASY unless there’s a Cid! He’s even found his way into the spinoffs.[~][~]Interestingly enough, Cid’s soul wasn’t brought to Grymoire like the other classic characters. However, the powers that be must have understood that [f2]conceptually, [/f]someone named Cid [f2]has [/f]to be born for the whole Champion System thing to even work. And that’s how Grymoire got its own unique Cid.[~][~]
CHARACTER_JITEN_38_5;"[#ff368c79]Cid and Celes[/#][~]The first town that the nascent Federation seized was Cid and Celes’s hometown. If you’re curious as to what happened, talk to them and they might drop a few revealing hints.[~][~]Each of them has saved and been saved by the other countless times
CHARACTER_JITEN_39_VOICEACTOR;CV: Candi Milo / Megumi Hayashibara
CHARACTER_JITEN_39_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY XI[/f][~]
CHARACTER_JITEN_39_1;[#ff368c79]Age in Grymoire:[/#] Late 40s, according to Besaid’s older folk[~](Pressing Shantotto for details is not advised)[~][~][#ff368c79]Notes:[/#] Doctor / Pantologist / Curse professional / Black magic expert / Speaks in rhyme / “Ahhh, ha ha ha ha!” / Overbearing, but a certifiable genius / Do not make her angry[~][~]
CHARACTER_JITEN_39_2;[#ff368c79]Always There to Assist?[/#][~]When someone tells you that they’re a specialist in curses, you immediately think bad thoughts. Still, a tool isn’t good or bad in and of itself. It’s all about how you use it, and Shantotto uses her knowledge of the hexing arts to solve problems for those in need. So curse or not, it can be a good thing! Now that that’s settled, who wants one?[~][~]Shantotto’s original soul was Tarutaru, a race known for their diminutive stature (not that it stopped her from towering above others in spirit, mind you). Luckily, here on Grymoire, everyone is already pretty tiny. When Shantotto’s soul was born into a Lilikin body, her vertical challenges vanished.[~][~]
CHARACTER_JITEN_39_3;[#ff368c79]Just Getting Started[/#][~]Shantotto is the oldest Medium you’ll meet in Grymoire (if you exclude Sherlotta and people removed from time’s normal flow). That said, she still hasn’t reached the age the original Shantotto was during the Crystal War. In other words, Shantotto’s still got plenty of time to do great things in Grymoire.[~][~]
CHARACTER_JITEN_39_4;[#ff368c79]She’s on Your Side, Honest[/#][~]Shantotto’s pursuits are so lofty that she frequently forgets to connect with mere layfolk. And let’s face it: her mastery of black magic and curses doesn’t help public relations much, either. But as evil as her hobbies make her sound, one thing should be infinitely clear: no matter what schemes she’s got bubbling around in that mysterious head of hers, you can bet it’s always for the greater good.[~][~]Shantotto has a proven track record in Besaid, and knows exactly how to keep the locals safe and happy. So if you thought she’d completely lost her mind when she tried to do the Quacho Queen in—never fear! Everything she does has a purpose.[~][~]
CHARACTER_JITEN_40_VOICEACTOR;CV: James Arnold Taylor / Masakazu Morita
CHARACTER_JITEN_40_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY X[/f][~]
CHARACTER_JITEN_40_1;[#ff368c79]Age in Grymoire:[/#] 17[~][~][#ff368c79]Notes:[/#] Super swimmer / Breathes underwater?! / Believes in doing the right thing / Always upbeat / Blitzball[~][~]
CHARACTER_JITEN_40_2;[#ff368c79]Blitzball[/#][~]Tidus lives in Besaid, and as you might have guessed, he’s the best blitzball player around. Sadly, Besaid doesn’t seem to have one of those impressive spherical stadiums.[~][~]
CHARACTER_JITEN_40_3;[#ff368c79]Athletic Abilities Off the Chart[/#][~]Tidus was born to swim and play sports, and he uses his boundless stamina and agility to deal with rogue Mirages and other troubles in the waters off Besaid.[~][~]He’s also gotten pretty handy with a sword. The fact that he almost measures up to the League of S’s more seasoned fighters like Squall, Cloud, and Lightning should tell you a lot about what he’s physically capable of.[~][~]
CHARACTER_JITEN_40_4;"[#ff368c79]Tidus and Shantotto[/#][~]Shantotto calls Tidus the “jock with the gills of a flounder,” so it may seem as if she doesn’t think much of him. On the contrary, they often work together to help the people of Besaid, and she values his talents quite highly. So don’t let the unidirectional harsh wording fool you
CHARACTER_JITEN_40_5;[#ff368c79]Just a Really Nice Guy[/#][~]Nothing can stop Tidus once he sets his mind on something. If you ask him for help, this brave and good-natured youth will never let you down.[~][~]When Yuna was kidnapped, Tidus chased her kidnapper all the way up the Crystal Tower. Some might call that idiotic, especially since he’d barely had any battle training. But he was thinking with his heart, and that’s nothing to sniff at.[~][~]Since the battle with Bismarck, Tidus and Yuna seem much closer. Perhaps their real journey is just about to begin.[~][~]
CHARACTER_JITEN_41_VOICEACTOR;CV: Natalie Lander / Yukari Fukui
CHARACTER_JITEN_41_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY VI[/f][~]
CHARACTER_JITEN_41_1;[#ff368c79]Age in Grymoire:[/#] 18[~][~][#ff368c79]Esper Protector:[/#] Maduin[~][~][#ff368c79]Notes:[/#] Magitek armor / Slave crown / Maduin / More powerful than she can begin to know[~][~]
CHARACTER_JITEN_41_2;[#ff368c79]Enslaved[/#][~]Terra grew up on the same continent as Celes, although they were not acquainted. She was another victim of Segwarides’ many experiments.[~][~]She may seem quiet and frail, but her courage and strength of will are superhuman. Terra fought hard to break free of Segwarides’ slave crown and warn Reynn and Lann of the Heralds’ plans. (She failed to get her message across, but considering the state she was in, that’s understandable.)[~][~]
CHARACTER_JITEN_41_3;[#ff368c79]Not a Summoner[/#][~]This may be a bit confusing, but Terra is [f2]not [/f] a summoner, even in Grymoire. While it may have appeared that her role in Segwarides’ grand plan was the same as the captured summoners—Yuna, Eiko, and Rydia—she actually functioned as more of a catalyst to the other three in his sinister ritual.[~][~]
CHARACTER_JITEN_41_4;[#ff368c79]Terra’s Birthright[/#][~]Terra was the fruit of an unlikely love between a Mirage (an esper) and a human. Her heritage enables her to interact with espers in a fundamentally different way from summoners, granting her the ability to call upon and control them—even against their will.[~][~]Terra’s unique talents caught the eye of Segwarides. Even knowing she was a Medium, he decided to take the risk, enslave her, and use her powers. However, Segwarides underestimated Terra’s strength and the tenacity of her esper guardian, Maduin, and soon discovered she was a difficult pawn to put into play. In the end, his clumsy efforts caused her to lose control completely—and there, his scheme should have fallen apart.[~][~]It was Lann and Reynn who defeated Terra, her armor, and Maduin in one fell swoop. Segwarides could barely contain his glee as he scooped up Terra’s unconscious body and linked her to the Ultima Gate. Once again, the twins had unwittingly furthered his plot.[~][~]Terra has yet to learn of her origins or her potential. For now, she spends her time with Yuna and the other summoners, hoping to one day become a summoner herself.[~][~]
CHARACTER_JITEN_41_5;[#ff368c79]Cogna Vs. Machine[/#][~]The main difference between the Cogna already in Grymoire (those beneath Figaro, or Terra’s Magitek armor) and the ones Brandelis summoned through the Ultima Gate is the nature of their souls.[~][~]The Cogna can be divided into two main categories: sentient Cogna that possess wills and souls of their own, and empty Cogna that do not. Sentient Cogna seek to propagate and destroy worlds. The empty ones, however, cannot reacquire a soul or propagate, and are therefore unlikely to pose a threat to the world.[~][~]Terra’s Magitek armor falls into the latter category, although it is largely a customized model created by Segwarides.[~][~]In case you were wondering, when Lann and Reynn capture Cogna in eldboxes, the eldbox copies merely the physical form, and not the Cogna’s soul.[~][~]
CHARACTER_JITEN_41_6;"[#ff368c79]The Magitek Armor and Maduin[/#][~]The black Magitek armor that Terra controls is unique—an artificial Cogna Segwarides created just for her. Terra never suspected this
CHARACTER_JITEN_42_VOICEACTOR;CV: Andrew Morris / Shigeru Chiba
CHARACTER_JITEN_42_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY VI[/f] : As the cactuar monster[~]
CHARACTER_JITEN_42_1;[#ff368c79]Notes:[/#] Train conductor / Excellent conversationalist / Is somehow everywhere at once / “Your tickets, please!”[~][~]
CHARACTER_JITEN_42_2;[#ff368c79]A Series Regular[/#][~]Putting the conductor aside for a moment, cactuars in general first appeared in [f2]FINAL FANTASY VI[/f] and have made their prickly mark on every numbered title since. They’re known for their lightning quick reflexes and their 1,000 Needles attack.[~][~]So which cactuar have we got here? Well, if you look at the jerky animation and assume the conductor’s soul was brought to Grymoire from the FFVIII era, then you might be onto something.[~][~]
CHARACTER_JITEN_42_3;[#ff368c79]Lord of Locomotion[/#][~]The Cactuar Conductor single-handedly runs and mans a network of trains found in every corner of Grymoire. He’s also a master of dodging. After all, who else can say he’s made it through fifty years of cactuaring without getting clocked even once?[~][~]So he may be green, but he’s definitely not [f2]green.[/f][~][~]
CHARACTER_JITEN_42_4;[#ff368c79]Peachy Keen[/#][~]Maybe you’ve heard the expression the conductor used—“peachy keen”—once or twice before. Did you know where it comes from, though? About fifty years ago, “keen” was another word for “cool.” And fifty years before that, folks called cool things “peachy.”[~][~]Makes you wonder if people a century from now will be saying things like “phat diggity” or “totes bodacious” or “carpe YOLO.” (Cringe.) Let’s just hope we’re not around to see the worst of the fallout.[~][~]
CHARACTER_JITEN_43_VOICEACTOR;CV: Steven Barr / Jouji Nakata
CHARACTER_JITEN_43_ORIGINAL;First World of Origin:[~][f2]FINAL FANTASY V[/f] : As the tonberry monster[~]
CHARACTER_JITEN_43_1;[#ff368c79]Notes:[/#] Coliseum manager / Gentleman / Calm and collected / Everybody’s grudge...or is it just karma?[~][~]
CHARACTER_JITEN_43_2;[#ff368c79]A Series Regular[/#][~]Ah, the tonberry. Ever since their first FINAL FANTASY appearance, these disturbing yet lovable creatures have appeared in nearly every installment.[~][~]In the English-speaking world, they went through a bit of an identity crisis at first. For some reason tonberries were initially called “pugs,” despite looking nothing like dogs. Then again, they don’t look like berries either...[~][~]
CHARACTER_JITEN_43_3;[#ff368c79]The Coliseum[/#][~]The fog surrounding the Coliseum connects it to other worlds: specifically, a set of divergent possible histories that have manifested as parallel worlds. Those [f2]other [/f]worlds have [f2]other [/f]Coliseums run by [f2]other [/f]tonberries, who all work together to arrange contests of sport across what we’ll just call the Interspace for now.[~][~]
