CHARACTER_JITEN_01_VOICEACTOR;Voz inglesa por Josh Keaton[~]Voz japonesa por Soma Saito
CHARACTER_JITEN_30_2;[#ff368c79]SeeD, parte I[/#][~]SeeD es un grupo de mercenarios de élite que lucha contra la Federación de Bahamut cada vez que tiene ocasión. El nombre de esta organización ha servido de inspiración para otras y entre sus miembros hay caras conocidas, como Squall y Quistis. El rey Edgar ha contratado los servicios de SeeD para liberarse del yugo de la Federación, algo que sin duda no habría logrado sin el apoyo del grupo y de nuestros héroes, Lann y Reynn.[~]
CHARACTER_JITEN_30_3;[#ff368c79]La Liga de los S, parte I[/#][~]Cloud y Shelke trabajan para Shinra, y Squall y Quistis trabajan para SeeD. Cuando estos dos poderosos grupos se unieron para luchar contra la Federación de Bahamut, tomaron la primera letra de sus nombres y decidieron denominar sus fuerzas conjuntas como la <QUOT>Liga de los S<QUOT>.[~]
CHARACTER_JITEN_30_4;[#ff368c79]La Liga de los S, parte II[/#][~]Gracias a la estrecha colaboración entre Shinra y SeeD, la Liga de los S es capaz de plantarle cara a la Federación de Bahamut y su ejército. Sin embargo, cuando un misterioso accidente tiene lugar en el cuartel general de Shinra, en Nibelheim, su alianza sufre un duro golpe: todos sus líderes y principales investigadores desaparecen. Tras el incidente, SeeD tomó el mando de la Liga en un intento por levantar la moral de los desolados miembros de Shinra, entre los que se encuentran Cloud y Shelke.[~]
CHARACTER_JITEN_30_5;[#ff368c79]SeeD, parte II[/#][~]El Jardín de Balamb, una ciudad flotante, es la base principal de SeeD, y hasta que Eiko no se dio cuenta de ello, nadie sospechaba que el edificio era en realidad un mirage gigante, como el Gran Puente. En varios lugares de Grymoire hay artefactos y lugares como el Jardín de Balamb, repletos de tecnología mucho más avanzada de la que poseen la mayoría de civilizaciones del mundo. Nadie sabe cuándo fueron creados, pero es evidente que tienen muchos años y mucho poder. SeeD lleva tiempo trabajando para obtener toda la información posible sobre esta antigua tecnología y poder usarla de forma eficiente contra el ejército de Bahamut. Los barcos voladores son un ejemplo de esa tecnología y, curiosamente, gracias a ellos descubrieron el Jardín de Balamb junto con toda una colección de valiosos artefactos: armas como los sables-pistola, esquemas y artefactos varios. Con la ayuda de los investigadores de Shinra fueron capaces de transformar muchos de esos hallazgos en armas que sus enemigos temen.[~]
CHARACTER_JITEN_30_6;[#ff368c79]Un verdadero líder[/#][~]Squall siempre ha sido hombre de pocas palabras, un lobo solitario que no acaba de sentirse cómodo haciendo con otros algo que podría hacer él solo. Sin embargo, al no tener muchos agentes tan valiosos como él, SeeD siempre ha contado con su espada en las situaciones más peligrosas y contra los enemigos más poderosos. La fe que la organización tiene depositada en él y la importancia de las misiones que ha llevado a cabo son consecuencia de su innata capacidad de liderazgo. Seifer no existe en Grymoire y Squall se hizo esa cicatriz en la cara entrenando con otra persona. Según los rumores, cuando empezó a entrenar con Cloud y Lightning volvía a casa cubierto de cortes y magulladuras, pero nadie sabe a ciencia cierta si la cicatriz viene de esas sesiones. Sorprendentemente, Squall es el miembro más joven de la Liga de los S. ¡Más joven incluso que Shelke! Las experiencias que ha vivido trabajando para SeeD le hacen parecer mayor de lo que es en realidad.
CHARACTER_JITEN_31_VOICEACTOR;Voz inglesa por Kari Wahlgren[~]Voz japonesa por Fumiko Orikasa
CHARACTER_JITEN_31_ORIGINAL;Mundo de origen[~]Dirge of Cerberus: Final Fantasy VII
CHARACTER_JITEN_31_1;[#ff368c79]Edad en Grymoire[/#][~]19 años[~][~][#ff368c79]Características en Grymoire[/#][~]Soldado de Shinra y miembro de los Tsviets. Domina la habilidad Antitécnica y es una estratega consumada. Se pone nerviosa con los cumplidos.[~]
CHARACTER_JITEN_31_2;"[#ff368c79]Antitécnica[/#][~]Shelke domina a la perfección esta temible habilidad, que le permite anular cualquier hechizo o técnica que usen contra ella. Sin embargo, se debe cumplir un requisito para que surta efecto: el poder que se quiera anular ha de estar activo. Durante el combate contra Lann y Reynn, los puso entre la espada y la pared para que se vieran forzados a usar sus poderes sellados y, cuando los sellos rezumaban energía, empleó esta técnica y consiguió así disiparlos. Sería más que razonable preguntarse por qué no les explicó con antelación lo que tenía en mente. Quizá tuviera prisa o, quién sabe, puede que sea el tipo de persona que prefiere actuar en vez de hablar
CHARACTER_JITEN_31_3;[#ff368c79]Tsviets de Shinra[/#][~]Shelke forma parte de los Tsviets, un grupo de soldados de Shinra que poseen poderes especiales. El nombre de cada Tsviet tiene su origen en un color, aunque Shelke es la única a la que no se le asignó uno, de ahí que se le dé un trato especial, incluso entre los Tsviets más peculiares.[~]
CHARACTER_JITEN_31_4;[#ff368c79]Indiferencia a los sentimientos[/#][~]Las pesadillas que Diablo mostró a Shelke, aun siendo versiones retorcidas de la realidad, se basan, en parte, en hechos reales. La vida de Shelke está salpicada por desgracias y terminó por cerrarse al mundo para lograr sobrevivir a esa situación tan trágica, por eso se comporta de manera distante e introvertida y se le da tan mal mantener una conversación. Suele centrarse con tal empeño e intensidad en las misiones que no se percata de casi nada más, ni siquiera de lo más obvio. Por ejemplo, tan solo se dio cuenta de que Tama podía hablar, a pesar de ser un mirage, cuando Vivi lo mencionó. Esto no la convierte en una cabeza hueca, ¡para nada! Su inteligencia innata, combinada con su habilidad para analizar de forma objetiva los sentimientos de la gente, le permite actuar acorde con la situación.
CHARACTER_JITEN_32_VOICEACTOR;Voz inglesa por Kath Soucie[~]Voz japonesa por Ikue Otani
CHARACTER_JITEN_32_ORIGINAL;Mundo de origen[~]Final Fantasy IX
CHARACTER_JITEN_32_1;[#ff368c79]Edad en Grymoire[/#][~]Desconocida (¿quizá recién nacido?)[~][~][#ff368c79]Características en Grymoire[/#][~]Mago negro con un alma pura e inocente. No se entera muy bien de los sucesos que acontecen a su alrededor.[~]
CHARACTER_JITEN_32_2;[#ff368c79]¡Está vivo![/#][~]Los protagonistas se encontraron con Vivi en lo más profundo de las instalaciones subterráneas bajo el Castillo de Fígaro, donde vigilaba el Reactor Mako 0. Se enfrentó a los gemelos para proteger el reactor y, tras el combate, adquirió voluntad propia y la habilidad de hablar, lo que lo convierten en el único mago negro de todo Grymoire capaz de expresarse.[~]
CHARACTER_JITEN_32_3;[#ff368c79]Las llaves de la profecía[/#][~]Las cuatro llaves de la profecía, que estaban escondidas en lugares remotos, servían además para contener el poder de cuatro de los heptarcas, por lo que su poder es inmenso, de tal envergadura que atraían mirages como la miel a las moscas. De hecho, una de estas llaves, la llave Gea, atrajo a los magos negros que se encontraban desterrados en el reactor. El más poderoso de entre ellos, Vivi, se hizo con la llave, quizá por designio divino de la mismísima Enna Kros. Sea como fuere, Lann y Reynn se alegraron de no tener que ir a buscarla.[~]
CHARACTER_JITEN_32_4;[#ff368c79]Magos negros[/#][~]Durante los últimos cien años, Segwarides ha llevado a cabo numerosos experimentos, aunque la mayoría fueron un fracaso. Entre dichos experimentos se cuentan los magos negros, que fueron desechados por su creador. Segwarides, además, no se percató en ningún momento de que Vivi fuera un iluminado. ¿Quizá formase parte del plan de Enna Kros? ¡Quién sabe! Los designios de un dios son inescrutables.[~]
CHARACTER_JITEN_32_5;[#ff368c79]Aliado de Fígaro[/#][~]Vivi y los magos negros adquirieron voluntad propia en Fígaro (debajo del castillo, para ser más precisos), por lo que el rey los invitó a unirse a su reino. Desde su reciente incorporación como ciudadanos de Fígaro se han esforzado al máximo para ser aceptados. Vivi admira a Edgar y, para él, no solo se trata de un rey, sino de su modelo a seguir. Le ha servido para crecer y madurar, aunque si se ha fijado en Edgar, a saber cómo sale... Por suerte, Vivi es puro de corazón y fuerte, por lo que se forjará su propio camino en la vida sin seguir el comportamiento tan <QUOT>peculiar<QUOT> del rey. Anécdota: los magos negros de Grymoire jamás fueron programados para desactivarse transcurrido un periodo determinado de tiempo.
CHARACTER_JITEN_33_VOICEACTOR;Voz inglesa por Jessie Flower[~]Voz japonesa por Hisako Kanemoto
CHARACTER_JITEN_33_ORIGINAL;Mundo de origen[~]Final Fantasy IX
CHARACTER_JITEN_33_1;[#ff368c79]Edad en Grymoire[/#][~]6 años[~][~][#ff368c79]Guardián[/#][~]Fenril[~][~][#ff368c79]Características en Grymoire[/#][~]Una invocadora precoz con muy buen ojo y sexto sentido. Tiene un cuerno en la cabeza y cuida del Gran Puente. El lenguaje que usa le hace olvidar a uno que se trata, en realidad, de una niña.[~]
CHARACTER_JITEN_33_2;"[#ff368c79]Invocadora a los seis años[/#][~]A pesar de su temprana edad, Eiko es una invocadora con todas las de la ley
CHARACTER_JITEN_33_3;[#ff368c79]Amigos[/#][~]Cuando Eiko aprendió a caminar ya había dominado las habilidades y obtenido todos los conocimientos necesarios para ser invocadora. Sus padres estarían muy orgullosos de ella... si no hubiera abandonado su hogar para descubrir el mundo y hacerse un hueco en él por su cuenta. Una cosa es ser precoz y otra es independizarse a esa edad. Eiko ve con cierta frecuencia a Rydia y Yuna, a quienes considera buenas amigas. Quien no las conoce podría pensar que son una gran familia. De invocadoras, pero familia al fin y al cabo.[~]
CHARACTER_JITEN_33_4;[#ff368c79]El gran Fenril[/#][~]Eiko creció rodeada de moguris y otros mirages autóctonos de Grymoire, y, ahora que es una invocadora, cuenta con la compañía de su guardián Fenril. Eiko comparte su poder mágico con el poderoso mirage para que este pueda mantener su forma física en Grymoire. La apariencia de Fenril es similar a la transfiguración de los nakk níveos, pero sus almas son diferentes, así como su poder, ya que pertenece a la estirpe de los <QUOT>gran fenril<QUOT>. Si algún día Fenril logra transfigurarse, quizá los gemelos puedan ser testigos de la verdadera fuerza de estos mirages. Fenril, al igual que los demás mirages que acompañan a sus invocadores, es un ser de otro mundo y alberga un poder aún mayor que los de Grymoire.
CHARACTER_JITEN_34_VOICEACTOR;Voz inglesa por Jason Spisak[~]Voz japonesa por Soichiro Hoshi
CHARACTER_JITEN_34_ORIGINAL;Mundo de origen[~]Final Fantasy V
CHARACTER_JITEN_34_1;[#ff368c79]Edad en Grymoire[/#][~]20 años[~][~][#ff368c79]Características en Grymoire[/#][~]Viaja siempre acompañado por un chocobo. Muestra tendencia a salvar aventureros en apuros y un personaje curioso que asegura tener una rencilla con él no lo deja en paz.[~]
CHARACTER_JITEN_34_2;[#ff368c79]Espíritu nómada[/#][~]Se puede encontrar a Bartz allí donde sople el viento, siempre junto a su querido compañero Boko. Su lugar está en el bando de los buenos, ya sea como cazatesoros, aniquilador de monstruos o defensor de la justicia. Por complicada que sea la situación, dará con una solución elegante y, a continuación, retomará su viaje errante. Su negativa a asentarse en un lugar no es un capricho: es el deseo de su difunto padre.[~]
CHARACTER_JITEN_34_3;[#ff368c79]Despreocupado[/#][~]Nada puede aguar el apasionamiento y las ganas de aventura de Bartz. Con el talego al hombro, viaja sin descanso de un lugar a otro y esboza una sonrisa incluso ante la más arriesgada de las situaciones. Su afable personalidad hace que sea fácil llevarse bien con él, ¡y su entusiasmo está a la altura del de la propia Rikku! Puede que Bartz también tenga sus problemas y dilemas, pero no los deja entrever. ¿Quizá por su personalidad despreocupada? Si se propone algo, lo consigue, ya requiera gran esfuerzo y denuedo. Jamás se ha dado por rendido y jamás lo hará.[~]
CHARACTER_JITEN_34_4;[#ff368c79]Gilgamesh[/#][~]Bartz no logra quitarse de encima a este acosador. Esta reencarnación de Bartz en Grymoire no tiene ni idea de qué mosca le ha picado al tal Gilgamesh, pero en el mundo original de Bartz sí que tuvieron un encontronazo. Aunque su personalidad sea un poco desesperante, en el fondo es buena gente. Es honesto como pocos y su carácter es puro e ingenuo, por lo que a Bartz le resulta imposible odiarlo, algo que este último nunca reconocerá. Le caiga bien o mal, seguro que terminan formando un buen equipo en Grymoire.
CHARACTER_JITEN_35_VOICEACTOR;Voz inglesa por Keith Szarabajka[~]Voz japonesa por Kazuya Nakai
CHARACTER_JITEN_35_ORIGINAL;Mundo de origen[~]Final Fantasy V
CHARACTER_JITEN_35_1;[#ff368c79]Edad en Grymoire[/#][~]Desconocida[~][~][#ff368c79]Características en Grymoire[/#][~]Tiene la curiosa costumbre de aparecer en el Gran Puente. ¿Por qué será?[~]
CHARACTER_JITEN_35_2;[#ff368c79]Obsesión con Bartz[/#][~]El alma de Gilgamesh es un tanto especial, ya que, a pesar de haber nacido en el mismo mundo que Bartz, pasó mucho tiempo viajando entre diferentes dimensiones. Aun así, sus recuerdos y la obsesión con Bartz quedaron grabados en su alma, de forma que incluso su reencarnación en Grymoire los mantiene. Esta característica es similar a la del Guerrero de la Luz.[~]
CHARACTER_JITEN_35_3;[#ff368c79]Más sobre la obsesión con Bartz[/#][~]Gilgamesh recorre el mundo gritando el nombre de Bartz. Al encontrarse con Snow por vez primera lo confunde con Bartz y se dispone a luchar con él. Su obsesión es tan grande que le nubla la mente: está convencido de que Snow es, en realidad, Bartz disfrazado, ya que afirma sentir una intensa conexión con él. Como Snow y Gilgamesh son unos parlanchines sin parangón que pueden hablar sin parar durante horas y sin prestar atención alguna a lo que dice la otra persona, la pobre Celes tiene que aguantar un monólogo por partida doble.
CHARACTER_JITEN_36_VOICEACTOR;Voz inglesa por Steve Burton[~]Voz japonesa por Takahiro Sakurai
CHARACTER_JITEN_36_ORIGINAL;Mundo de origen[~]Final Fantasy VII
CHARACTER_JITEN_36_1;"[#ff368c79]Edad en Grymoire[/#][~]21 años[~][~][#ff368c79]Características en Grymoire[/#][~]Soldado con peinado a lo chocobo que porta una espada mortal y de actitud seria y adusta
CHARACTER_JITEN_36_2;[#ff368c79]Cloud y la Liga de los S[/#][~]En Grymoire, Cloud solía trabajar para Shinra hasta que decidió abandonar su puesto debido a cierto incidente. Después de dejar Shinra, Quistis decidió solicitar sus servicios como mercenario independiente de la Liga de los S, y aunque aceptó de buena gana, impuso una condición.[~]
CHARACTER_JITEN_36_3;[#ff368c79]La venganza[/#][~]Cloud aceptó continuar ayudando a la Liga de los S en su lucha contra la federación, pero bajo una condición: SeeD debe ayudarle a encontrar a alguien y vengarse de él. Es Cloud quien tiene la última palabra acerca de cómo llevar a cabo la búsqueda. Se desconoce el verdadero motivo, pero se enfurece cada vez que piensa en ese hombre.[~]
CHARACTER_JITEN_36_4;[#ff368c79]Antiprotector[/#][~]Los protectores albergan un gran poder que les ha sido concedido por la propia Enna Kros. Son seres con la convicción y el coraje para defender su mundo no solo contra los daemonbots, sino contra cualquier peligro que pueda surgir. Son, por así decirlo, los glóbulos blancos de este mundo. Sin embargo, no todos los protectores siguen el sendero de la luz: algunos se dejan arrastrar por el lado oscuro y se proponen destruir el mundo en vez de salvarlo. Se los conoce como los <QUOT>antiprotectores<QUOT>, y el hombre de pelo plateado al que persigue Cloud es uno de ellos. Suponen una gran amenaza para Grymoire y, como tal, su presencia no suele tolerarse durante mucho tiempo y terminan por ser expulsados a otro mundo. Es probable que esto haya sido lo que ha ocurrido con el hombre del pelo plateado.[~]
CHARACTER_JITEN_36_5;[#ff368c79]El maldito hombre del pelo plateado[/#][~]Cloud se niega a explicar por qué quiere vengarse de él. El alma de un iluminado está abocada a vivir un destino similar al que tuvo en su mundo original. En Grymoire no existen ni Zack ni Aeris, así que no debería de ser difícil imaginarlo. A pesar de cargar con las desdichas del pasado, puede que encuentre la forma de dar carpetazo a esos sucesos de antaño y seguir con su vida. Al fin y al cabo, cuenta con el apoyo de sus aliados de la Liga de los S y de sus amigos de la infancia.
CHARACTER_JITEN_37_VOICEACTOR;Voz inglesa por Christina Rose[~]Voz japonesa por Houko Kuwashima
CHARACTER_JITEN_37_ORIGINAL;Mundo de origen[~]Final Fantasy VI
CHARACTER_JITEN_37_1;[#ff368c79]Edad en Grymoire[/#][~]18 años[~][~][#ff368c79]Características en Grymoire[/#][~]Esta vigilante de Villa Papiro tiene un carácter sensato y tranquilo y es buena amiga de Cid. Aúna un lado tierno con uno más duro de su época militar.[~]
CHARACTER_JITEN_37_2;[#ff368c79]Celes y Cid[/#][~]Se conocen desde tiempo ha y son amigos del alma. Celes fue contratada para defender la biblioteca de Villa Papiro, pero como Cid a veces se escacharra, no ha podido apenas salir de allí. No le entusiasma esta situación, pero Cid le cae muy bien... por lo general. Su época en el ejército le ha conferido un carácter brusco y directo cuando trata con desconocidos, pero este se disipa cuando coge confianza y, entonces, es de lo más afable.[~]
CHARACTER_JITEN_37_3;[#ff368c79]Creadores de un futuro mejor[/#][~]Las altas esferas de la Federación ven con buenos ojos a quienes pretenden convertirse en creadores, y premian de diversas formas su esfuerzo. Quienquiera que se convierta en creador vivirá en una catedral y podrá disfrutar de paz, riqueza y felicidad. Suena demasiado bien para ser verdad, ¿no? La Federación lleva cien años contando esta historia y la población ha acabado por creérsela a pies juntillas. Si uno se para a analizar la verdad que rodea a este mito, verá que hace aguas por varios lados, pero es muy complicado que alguien que haya nacido dentro de ese sistema ponga en entredicho esa <QUOT>verdad<QUOT>. Tras darse de bruces en repetidas ocasiones con la realidad, incluso Lann se da cuenta de que hay que pararse a reflexionar para destapar una mentira.[~]
CHARACTER_JITEN_37_4;"[#ff368c79]La ópera no es lo mío[/#][~]Celes puede mostrarse un tanto reacia a hacer caso a los demás, aunque todo lo que dice Cid va a misa. Cuando le propuso que participara en una ópera, Celes se negó, pero no tardó en aceptar. Cloud, por supuesto, no tenía ninguna intención de pisar el escenario
CHARACTER_JITEN_37_5;"[#ff368c79]Aldea de Celes[/#][~]Grymoire es un mundo compuesto por seis continentes flotantes conectados entre sí donde se pueden encontrar las siguientes poblaciones: Cornelia, Saronia, Nibelheim, Fígaro, Villa Papiro y Puerto Besaid. Hasta no hace mucho existía un séptimo continente, pero desapareció debido a una terrible catástrofe. Antes de que ese continente desapareciera por completo, la Federación de Bahamut realizó labores humanitarias y de rescate y consiguió salvar a la mayoría de sus habitantes
CHARACTER_JITEN_37_6;[#ff368c79]Un escenario lejano[/#][~]Celes se plantea, durante unos breves instantes, la posibilidad de forjarse un futuro en el mundo de la ópera..., aunque algunos de vosotros recordaréis que ya hizo sus pinitos sobre un escenario de otro universo. Por cierto, ¿alguien ha reconocido la música?
CHARACTER_JITEN_38_VOICEACTOR;Voz inglesa por William Salyers[~]Voz japonesa por Shotaro Morikubo
CHARACTER_JITEN_38_ORIGINAL;Mundo de origen[~]World of Final Fantasy
CHARACTER_JITEN_38_1;[#ff368c79]Edad en Colina Nonarboleda[/#][~]Desconocida (en sus cuarenta cuando aún era humano)[~][~][#ff368c79]Características[/#][~]Hombre mecánico que asegura ser 100% humano. Le encanta leer y, de vez en cuando, se le cruzan los cables, figurada y literalmente. La Biblioteca de los papiros es su hogar y se niega a salir de allí.[~]
CHARACTER_JITEN_38_2;[#ff368c79]Más que un robot[/#][~]Se mire por donde se mire, Cid es un robot, desde las tuercas del pie derecho hasta los tornillos de la cabeza. Aun así, se empeña en que es humano. Es mejor bailarle el agua, porque a ver quién le mete en esa cabeza metálica la verdad. Cid y Celes se criaron en el mismo poblado y se conocen desde hace mucho tiempo. Desde que lo robotizaron, tiende a volverse frenético de vez en cuando y Celes tiene que intervenir para calmarlo y que no le revienten los condensadores.[~]
CHARACTER_JITEN_38_3;[#ff368c79]Brujería[/#][~]Cid está convencido de que su alma pasó a habitar su nuevo cuerpo metálico debido a un accidente. La verdad es otra: lo hirieron de muerte cuando escapaba de la Federación y, si no hubiera cambiado de cuerpo, habría muerto definitivamente. Eso sí, está más contento que unas castañuelas por no tener que dormir. Otras ventajas de su cuerpo metálico son los cohetes que le permiten llegar hasta las estanterías más elevadas y despreocuparse de posibles cortes con las hojas de los libros. Cid siempre ha destacado por ver el vaso medio lleno y no medio vacío.[~]
CHARACTER_JITEN_38_4;[#ff368c79]Cid ubicuo[/#][~]Lo que sí que está claro es que no puede haber Final Fantasy sin Cid. A lo largo de los diversos juegos de la serie ha adoptado numerosas formas, roles y personalidades, ya que no le gusta perderse ni uno. Resulta curioso que su alma no haya llegado a Grymoire de la misma forma que la de los protectores, sino que ha nacido en Grymoire. Tampoco se trata de un protector, sino de una especie de fenómeno natural que aparece para ayudar a los héroes allá donde estos lo necesiten.[~]
CHARACTER_JITEN_38_5;[#ff368c79]Cid y Celes[/#][~]La primera población que cayó en manos de la Federación fue el pueblo natal de ambos. Ellos mismos dejan entrever algunos detalles de los sucesos acontecidos en sus conversaciones. Han sufrido mucho por culpa de la Federación, y se han salvado el uno al otro en tantas ocasiones que se podría decir que son como familia.
CHARACTER_JITEN_39_VOICEACTOR;Voz inglesa por Candi Milo[~]Voz japonesa por Megumi Hayashibara
CHARACTER_JITEN_39_ORIGINAL;Mundo de origen[~]Final Fantasy XI
CHARACTER_JITEN_39_1;[#ff368c79]Edad en Grymoire[/#][~]Según un señor gruñón de Besaid, debe de estar en los cuarenta, pero mejor no preguntar demasiado al respecto.[~][~][#ff368c79]Características en Grymoire[/#][~]Es la gran doctora Shantotto, que quede claro. Una maestra de los hechizos y las maldiciones, ¡una panóloga excelsa! Magia negra o sabiduría popular, ¡lo conoce todo! Quienquiera que se atreva a llevarle la contraria no tiene mundo suficiente para esconderse.[~]
CHARACTER_JITEN_39_2;"[#ff368c79]Taumaturga, ¡con respuesta para todo![/#][~]Cuando alguien dice ser un experto en maldiciones, lo primero que se le viene a uno a la cabeza son cosas malas. Sin embargo, ningún hechizo o maldición es malo en sí
CHARACTER_JITEN_39_3;[#ff368c79]Su edad[/#][~]Shantotto es la iluminada más longeva de Grymoire (Sherlotta es un caso especial, y quienes han sido apartados del flujo del tiempo no se tienen en cuenta). Aunque sea la más mayor, no ha alcanzado la edad que tenía la Shantotto original durante la Guerra del Cristal. Vamos, que aún va a dar mucha guerra en Grymoire.[~]
CHARACTER_JITEN_39_4;[#ff368c79]Shantotto es nuestra aliada: ¡en serio![/#][~]No pierde el tiempo explicando las cosas, sino que actúa cuando se lo pide el cuerpo. A la gente le cuesta entender el porqué y la lógica de sus acciones, y si a eso sumamos la magia negra y las maldiciones, la conclusión no suele ser positiva. Si uno se para a analizar en profundidad lo que se le pasa por la cabeza, se dará cuenta de que, en el fondo, lo hace con buenas intenciones. Shantotto reside en Besaid y se encarga de proteger a sus habitantes y, aunque en alguna ocasión se le vaya de las manos, lo hace de buen corazón. La caza de la pingüirreina tenía una razón de ser. ¡No era una fechoría!
CHARACTER_JITEN_40_VOICEACTOR;Voz inglesa por James Arnold Taylor[~]Voz japonesa por Masakazu Morita
CHARACTER_JITEN_40_ORIGINAL;Mundo de origen[~]Final Fantasy X
CHARACTER_JITEN_40_1;[#ff368c79]Edad en Grymoire[/#][~]17 años[~][~][#ff368c79]Características en Grymoire[/#][~]Este excelso nadador puede aguantar mucho tiempo bajo el agua, tiene un gran sentido de la justicia y una personalidad alegre y enérgica. Es un jugador profesional de blitzbol.[~]
CHARACTER_JITEN_40_2;[#ff368c79]Blitzbol[/#][~]Tidus vive en Besaid y, cómo no, es la estrella del equipo local. Es una pena que en esta ocasión no podamos verlo en acción.[~]
CHARACTER_JITEN_40_3;[#ff368c79]Atleta de aúpa[/#][~]Tidus nació con una habilidad innata para el deporte y suele usar su fuerza y agilidad para luchar contra mirages o resolver situaciones problemáticas en los mares de Besaid. Últimamente ha aprendido a manejar la espada bastante bien, pero no puede compararse en absoluto con Squall, Cloud o Lightning. Sea como fuere, es mejor no menospreciar a este tenaz y joven luchador, pues pocos tienen su envidiable forma física.[~]
CHARACTER_JITEN_40_4;[#ff368c79]Tidus y Shantotto[/#][~]Shantotto dice de Tidus que es un <QUOT>surfero playero<QUOT>, por lo que puede parecer que no lo respeta demasiado. Sin embargo, lo cierto es que valora sus habilidades y colaboran desde hace tiempo para proteger a los habitantes de Besaid. A pesar del poco tacto de Shantotto, son buenos amigos y sienten admiración el uno por el otro.[~]
CHARACTER_JITEN_40_5;[#ff368c79]Un tipo campechano[/#][~]Quizá de vez en cuando dé la impresión de que es algo despreocupado y bromista, pero eso no significa que no se pueda confiar en él. Cuando se propone algo, ¡no hay quien lo pare! Este joven afable y de espíritu inquebrantable no defrauda a quien le pide ayuda. Cuando raptaron a Yuna, Tidus persiguió a su secuestradora hasta la mismísima Torre de Cristal, ¡y no titubeó ni un solo momento! ¿Hay alguien en peligro? Allá que va Tidus, por peliaguda que sea la situación. De hecho, fue el primero en alcanzar lo más alto de la torre, a pesar del cansancio tras un arduo y largo combate.
CHARACTER_JITEN_41_VOICEACTOR;Voz inglesa por Natalie Lander[~]Voz japonesa por Yukari Fukui
CHARACTER_JITEN_41_ORIGINAL;Mundo de origen[~]Final Fantasy VI
CHARACTER_JITEN_41_1;[#ff368c79]Edad en Grymoire[/#][~]18 años[~][~][#ff368c79]Guardián[/#][~]Maduin[~][~][#ff368c79]Características en Grymoire[/#][~]Suele desplazarse montada sobre una unidad Magitec y lleva en la cabeza una corona de esclavitud. La une un fuerte vínculo con Maduin y en su interior reside un gran poder.[~]
CHARACTER_JITEN_41_2;[#ff368c79]Terra, la víctima[/#][~]A pesar de haber nacido en el mismo continente que Celes, no se llegaron a conocer durante su juventud. Al igual que otros, Terra ha sido víctima de los maléficos experimentos de Segwarides. Su naturaleza apacible y algo retraída quizá dé una impresión equivocada: no es dócil y sumisa, y su coraje y voluntad son férreos. Logró incluso combatir el control de Segwarides sobre su voluntad para advertir a Lann y Reynn de sus planes malvados (no le dio tiempo a decírselo, pero quizá la culpa fuera más bien de los receptores y no del locutor).[~]
CHARACTER_JITEN_41_3;[#ff368c79]No es una invocadora[/#][~]Quizá resulte confuso el hecho de que Terra no sea una invocadora en Grymoire. Puede parecer que su papel en el plan maestro de Segwarides era similar al de las otras tres invocadoras (Yuna, Eiko y Rydia), pero, en realidad, la utilizó para aumentar y canalizar el poder de las demás durante el ritual.[~]
CHARACTER_JITEN_41_4;[#ff368c79]Origen[/#][~]Fruto del inaudito amor entre un esper y una humana, puede interactuar con espers de forma diferente a los invocadores y es capaz de invocarlos y controlarlos incluso en contra de su voluntad. Este poder tan especial llamó la atención de Segwarides, quien decidió esclavizarla aun a sabiendas de que se trataba de una iluminada. Sin embargo, Terra demostró ser más poderosa de lo que él anticipó y, gracias a la ayuda de Maduin, se deshizo del control de Segwarides. El poder que surgió de su interior al liberarse provocó que perdiera el control de sus acciones, y Lann y Reynn tuvieron la mala suerte de aparecer en ese momento. Después de que los gemelos derrotaran a Maduin y Terra, Segwarides la vinculó al portal Artema mientras sonreía satisfecho por haber usado a Lann y Reynn como títeres en su plan. Terra no comprende bien su poder ni de dónde proviene, pero, ahora que la situación se ha calmado, puede pasar más tiempo con Yuna y las otras invocadoras. Quizá así logre convertirse en invocadora algún día.[~]
CHARACTER_JITEN_41_5;[#ff368c79]Daemonbots y máquinas[/#][~]La diferencia entre los diversos daemonbots que habitan en Grymoire (los de la prisión subterránea o la unidad Magitec de Terra) y los que invocó Brandelis a través del portal Artema reside en el origen de sus almas. Los daemonbots se dividen en dos grandes categorías: los que poseen voluntad y alma propias y aquellos que se podrían considerar máquinas sin espíritu. Los primeros se caracterizan por sus ansias de destrucción y la intención de propagarse sin fin, mientras que los del segundo grupo son simples máquinas sin apenas capacidad de razonamiento y no suponen peligro alguno. La unidad Magitec de Terra pertenece a este último grupo y se trata más bien de un modelo personalizado por Segwarides. Los holocubos permiten a los gemelos analizar y copiar la forma física de los daemonbots, pero no así su alma.[~]
